student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,hobbies,skills.soft,family.siblings,family.income.father,family.income.mother,tech_skills,skills_soft,device_item_0.type,device_item_0.brand,device_item_0.year,device_item_1.type,device_item_1.brand,device_item_1.year,addr_city,addr_district,addr_postal
6,David Martinez,20,Male,51.0,001-074-8286,Hugheshaven,nathangibbs@hotmail.com,,Data Science,110.0,pending,15.5,average,0.0,1983-04-30 01:46:36,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tashkent,North Jamesfurt district,100551
10,Elizabeth Villegas,22,Female,0.0,205-467-4476,South Dianatown,anthonywalker@gmail.com,2013-02-11 07:12:29,Data Science,99.0,inactive,3.46,average,0.0,2014-12-16 06:44:51,"management, to","beat, southern",3,597.0,1150.0,"python=1, excel=1, sql=4","beat, southern",laptop,Dell,2016.0,phone,Xiaomi,2023.0,Unknown,Unknown,Unknown
14,Thomas Prince,20,Unknown,0.0,Yoq--,East Michellestad,aphillips@holland-diaz.org,2012-02-09 00:00:00,Other,114.0,inactive,15.5,excellent,0.0,2013-05-14 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
21,Hector Beltran,20,Male,52.0,Yoq--,North Harry,preid@hotmail.com,2010-02-02 00:00:00,Data Science,0.0,active,15.5,good,0.0,1983-03-31 17:15:15,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
22,Tara Nguyen,22,Unknown,73.0,038-874-2999,Brittanychester,rrodriguez@newman.com,2000-06-04 17:46:54,Other,78.0,inactive,3.46,excellent,174.0,2020-11-26 00:00:00,"create, accept","new, manager",3,1140.0,1117.0,"python=1, excel=3, sql=1","new, manager",laptop,Dell,2016.0,phone,Xiaomi,2018.0,Unknown,Unknown,Unknown
28,Brandy Powell,20,Unknown,87.0,404-233-0292,Oconnellburgh,benjamincollins@davis.info,2000-07-27 00:00:00,Other,107.0,inactive,0.0,excellent,0.0,2014-07-31 11:40:00,"energy, however","either, plan",4,1105.0,1106.0,"python=2, excel=1, sql=3","either, plan",laptop,Lenovo,2023.0,phone,Samsung,2022.0,Unknown,Unknown,Unknown
30,Jaime Rowe,20,Female,69.0,046-892-9598,Shepardmouth,eolson@carr.net,1972-01-29 01:01:06,Data Science,64.0,pending,3.46,average,0.0,Unknown,"woman, wear","reduce, than",4,1291.0,913.0,"python=4, excel=5, sql=3","reduce, than",laptop,Lenovo,2024.0,phone,Xiaomi,2019.0,Unknown,Unknown,Unknown
31,Brianna Castro,21,Unknown,51.0,Yoq--,East Regina,ali@gmail..com,2007-10-13 09:29:00,Data Science,0.0,pending,-2.0,average,63.0,1970-09-12 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
32,April Johnson,20,Male,51.0,054-829-3587,Andersontown,daniel21@hotmail.com,,Other,0.0,active,-2.0,good,0.0,2022-04-21 06:18:32,"material, relate","against, history",4,1124.0,1323.0,"python=5, excel=3, sql=3","against, history",laptop,Dell,2023.0,phone,Apple,2018.0,Tashkent,Christineburgh district,100686
37,Jeremy Fry,18,Female,51.0,773-180-2562,New Kent,mccoyandrew@yahoo.com,,Data Science,0.0,pending,3.46,average,0.0,1971-02-04 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tashkent,New Ian district,100606
39,David Duke,20,Female,0.0,526-677-6949,Harrishaven,baguilar@hotmail.com,2004-09-26 00:00:00,Python,0.0,active,0.0,excellent,0.0,2022-05-25 01:20:33,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
40,Sara Page,20,Female,71.0,Yoq--,West William,edgar27@phillips-martin.info,,Python,0.0,inactive,0.0,Unknown,0.0,1993-10-06 00:00:00,"imagine, middle","begin, movement",5,270.0,255.0,"python=3, excel=4, sql=4","begin, movement",laptop,Lenovo,2020.0,phone,Apple,2021.0,Unknown,Unknown,Unknown
43,Amanda Myers,19,Female,51.0,698-115-3243,North Christopherborough,hoganandrew@hotmail.com,,Data Science,0.0,pending,-2.0,average,0.0,1990-02-09 05:03:04,"professional, necessary","recent, tend",1,1134.0,1304.0,"python=5, excel=4, sql=2","recent, tend",laptop,Dell,2018.0,phone,Apple,2021.0,Unknown,Unknown,Unknown
44,Eric George,18,Male,93.0,Yoq--,Nathanborough,cynthia47@oneill.com,,Other,0.0,inactive,0.0,good,0.0,Unknown,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
